이용일자,이용가맹점,이용금액,업종
2026-01-03,스타벅스,6500,카페
2026-01-05,쿠팡,35000,쇼핑
2026-01-07,올리브영,28000,쇼핑
2026-01-09,GS25편의점,4200,편의점
2026-01-11,CGV영화관,22000,엔터테인먼트
2026-01-15,마켓컬리,67000,식료품
2026-01-18,스타벅스,7000,카페
2026-01-20,배달의민족,32000,배달
2026-01-22,이마트,89000,식료품
2026-01-25,넷플릭스,17000,구독
2026-01-28,쿠팡,52000,쇼핑
2026-02-02,스타벅스,6500,카페
2026-02-04,배달의민족,28000,배달
2026-02-06,올리브영,45000,쇼핑
2026-02-10,GS25편의점,5500,편의점
2026-02-12,롯데마트,73000,식료품
2026-02-15,CGV영화관,22000,엔터테인먼트
2026-02-17,스타벅스,8500,카페
2026-02-19,쿠팡,41000,쇼핑
2026-02-22,무신사,95000,쇼핑
2026-02-24,배달의민족,35000,배달
2026-02-26,넷플릭스,17000,구독
2026-03-01,스타벅스,7000,카페
2026-03-03,이마트,112000,식료품
2026-03-06,배달의민족,42000,배달
2026-03-08,올리브영,33000,쇼핑
2026-03-11,GS25편의점,3800,편의점
2026-03-14,쿠팡,68000,쇼핑
2026-03-17,CGV영화관,44000,엔터테인먼트
2026-03-19,스타벅스,6500,카페
2026-03-22,배달의민족,29000,배달
2026-03-25,무신사,78000,쇼핑
2026-03-27,마켓컬리,54000,식료품
2026-03-29,넷플릭스,17000,구독
